ARS sex ageCat f_coeff immGG id year
6 Female 1 0.111704662442207 0.526008605957031 574 2006
7 Female 2 0.111704662442207 0.526008605957031 574 2007
7 Female 3to5 0.111704662442207 0.526008605957031 574 2008
8 Female 3to5 0.111704662442207 0.526008605957031 574 2009
8 Female 3to5 0.111704662442207 0.526008605957031 574 2010
5 Female 1 0.0446923784911633 0.565547943115234 586 2006
11 Female 2 0.0446923784911633 0.565547943115234 586 2007
6 Female 1 0 0.724956512451172 587 2006
10 Female 2 0 0.724956512451172 587 2007
6 Female 3to5 0 0.724956512451172 587 2008
10 Female 3to5 0 0.724956512451172 587 2009
10 Female 3to5 0 0.724956512451172 587 2010
3 Female 1 0.0350514501333237 0.599395751953125 550 2006
0 Female 1 0.0350514501333237 0.599395751953125 555 2006
5 Female 1 0.0663012936711311 0.515007019042969 576 2006
10 Female 2 0.0663012936711311 0.515007019042969 576 2007
4 Female 3to5 0.0663012936711311 0.515007019042969 576 2008
7 Female 3to5 0.0663012936711311 0.515007019042969 576 2009
7 Female 3to5 0.0663012936711311 0.515007019042969 576 2010
6 Female 1 0.0451484471559525 0.721755981445312 578 2006
11 Female 2 0.0451484471559525 0.721755981445312 578 2007
4 Female 1 0.0446923784911633 0.565547943115234 588 2006
3 Female 1 0.0235463529825211 0.638839721679688 549 2006
2 Female 1 0 0.794906616210938 570 2006
8 Female 2 0 0.794906616210938 570 2007
6 Female 3to5 0 0.794906616210938 570 2008
7 Female 3to5 0 0.794906616210938 570 2009
7 Female 3to5 0 0.794906616210938 570 2010
8 Female 6plus 0 0.794906616210938 570 2011
7 Female 6plus 0 0.794906616210938 570 2012
2 Female 1 0.111704662442207 0.526008605957031 575 2006
5 Female 1 0.0657937480136752 0.598251342773438 593 2007
7 Female 2 0.0657937480136752 0.598251342773438 593 2008
7 Female 1 0.0761022008955479 0.559684753417969 594 2007
5 Female 2 0.0761022008955479 0.559684753417969 594 2008
7 Female 1 0.10470862314105 0.542442321777344 579 2007
6 Female 2 0.10470862314105 0.542442321777344 579 2008
4 Female 3to5 0.10470862314105 0.542442321777344 579 2009
7 Female 1 0.138958641909994 0.524065017700195 613 2007
4 Female 1 0.02754289470613 0.657883167266846 672 2009
7 Female 2 0.02754289470613 0.657883167266846 672 2010
1 Female 1 0.0643822802230716 0.621307373046875 602 2008
3 Female 1 0.138958641909994 0.524065017700195 625 2008
4 Female 1 0.0217206478118896 0.66192626953125 582 2008
6 Female 2 0.0217206478118896 0.66192626953125 582 2009
6 Female 1 0.0458742659538984 0.558347702026367 623 2008
8 Female 2 0.0458742659538984 0.558347702026367 623 2009
8 Female 3to5 0.0458742659538984 0.558347702026367 623 2010
7 Female 3to5 0.0458742659538984 0.558347702026367 623 2011
1 Female 1 0.0858993791043758 0.59088134765625 583 2008
4 Female 1 0.0983079121215269 0.510096549987793 642 2008
3 Female 2 0.0983079121215269 0.510096549987793 642 2009
4 Female 3to5 0.0983079121215269 0.510096549987793 642 2010
4 Female 1 0.105039894580841 0.539558410644531 620 2008
4 Female 1 0.0618835702771321 0.581452369689941 641 2008
6 Female 2 0.0618835702771321 0.581452369689941 641 2009
4 Female 3to5 0.0618835702771321 0.581452369689941 641 2010
4 Female 1 0.0618835702771321 0.581452369689941 645 2008
9 Female 2 0.0618835702771321 0.581452369689941 645 2009
6 Female 3to5 0.0618835702771321 0.581452369689941 645 2010
3 Female 1 0.097417464479804 0.524696350097656 605 2008
1 Female 1 0.0512042324990034 0.588630676269531 624 2008
5 Female 1 0.138958641909994 0.524065017700195 622 2008
7 Female 2 0.138958641909994 0.524065017700195 622 2009
11 Female 3to5 0.138958641909994 0.524065017700195 622 2010
3 Female 1 0.102687706239522 0.554485321044922 621 2008
6 Female 2 0.102687706239522 0.554485321044922 621 2009
2 Female 1 0.0727810682728887 0.518424987792969 604 2008
1 Female 1 0.0727810682728887 0.518424987792969 603 2008
6 Female 1 0.0673741963692009 0.542844772338867 626 2008
5 Female 1 0.0618835702771321 0.581452369689941 643 2008
5 Female 1 0.00869789719581604 0.789215087890625 523 2008
3 Female 2 0.00869789719581604 0.789215087890625 523 2009
6 Female 3to5 0.00869789719581604 0.789215087890625 523 2010
6 Female 3to5 0.00869789719581604 0.789215087890625 523 2011
3 Female 3to5 0.00869789719581604 0.789215087890625 523 2012
5 Female 1 0.116403465624899 0.471218109130859 606 2008
3 Female 1 0.0858993791043758 0.59088134765625 581 2008
4 Female 2 0.0858993791043758 0.59088134765625 581 2009
8 Female 3to5 0.0858993791043758 0.59088134765625 581 2010
4 Female 3to5 0.0858993791043758 0.59088134765625 581 2011
5 Female 3to5 0.0858993791043758 0.59088134765625 581 2012
1 Female 6plus 0.0858993791043758 0.59088134765625 581 2013
3 Female 6plus 0.0858993791043758 0.59088134765625 581 2014
3 Female 1 0.104563997127116 0.547362327575684 644 2008
5 Female 2 0.104563997127116 0.547362327575684 644 2009
7 Female 1 0.0727810682728887 0.518424987792969 608 2009
2 Female 1 0.0314386857207865 0.692773818969727 632 2009
6 Female 1 0.0314386857207865 0.692773818969727 631 2009
5 Female 2 0.0314386857207865 0.692773818969727 631 2010
3 Female 1 0.14259051917179 0.5263352394104 673 2009
10 Female 2 0.14259051917179 0.5263352394104 673 2010
4 Female 1 0.0856587972375564 0.70383083820343 773 2012
3 Female 1 0.0856587972375564 0.70383083820343 772 2012
3 Female 1 0.0673670847900212 0.621671676635742 745 2012
3 Female 1 0.0673670847900212 0.621671676635742 748 2012
0 Female 1 0.0652669648052324 0.705424189567566 774 2012
5 Female 1 0.0408054559957236 0.680322170257568 707 2012
2 Female 1 0.0408054559957236 0.680322170257568 706 2012
6 Female 1 0 0.792401790618896 709 2012
3 Female 1 0.192084701244312 0.572181463241577 743 2012
8 Female 2 0.192084701244312 0.572181463241577 743 2013
6 Female 3to5 0.192084701244312 0.572181463241577 743 2014
11 Female 3to5 0.192084701244312 0.572181463241577 743 2015
3 Female 1 0.139537445465976 0.568653106689453 746 2012
5 Female 2 0.139537445465976 0.568653106689453 746 2013
6 Female 1 0.0408054559957236 0.680322170257568 705 2012
4 Female 1 0 0.792401790618896 715 2013
9 Female 2 0 0.792401790618896 715 2014
8 Female 3to5 0 0.792401790618896 715 2015
3 Female 1 0.114241530998697 0.55694317817688 755 2013
2 Female 1 0.0953321110355319 0.639572858810425 757 2013
3 Female 1 0.0867182600977685 0.595396757125854 783 2013
10 Female 2 0.0867182600977685 0.595396757125854 783 2014
0 Female 1 0.0633458351767331 0.68549370765686 761 2013
0 Female 1 0.115831339368015 0.572653293609619 759 2013
7 Female 1 0.0519096002681181 0.632257461547852 658 2010
4 Female 1 0.201211399282329 0.531766891479492 654 2010
1 Female 2 0.201211399282329 0.531766891479492 654 2011
4 Female 3to5 0.201211399282329 0.531766891479492 654 2012
6 Female 1 0.127941379367257 0.569644451141357 679 2010
8 Female 2 0.127941379367257 0.569644451141357 679 2011
7 Female 3to5 0.127941379367257 0.569644451141357 679 2012
7 Female 3to5 0.127941379367257 0.569644451141357 679 2013
6 Female 3to5 0.127941379367257 0.569644451141357 679 2014
4 Female 1 0.136436674278229 0.58992862701416 657 2010
6 Female 1 0.0835087429732084 0.558910369873047 637 2010
8 Female 1 0.0835087429732084 0.558910369873047 638 2010
5 Female 1 0.032301667612046 0.630324602127075 717 2010
8 Female 1 0.0903354897163808 0.576940536499023 660 2010
6 Female 2 0.0903354897163808 0.576940536499023 660 2011
6 Female 3to5 0.0903354897163808 0.576940536499023 660 2012
2 Female 3to5 0.0903354897163808 0.576940536499023 660 2013
4 Female 1 0.127941379367257 0.569644451141357 682 2010
7 Female 1 0.0808248224202543 0.602385520935059 659 2010
3 Female 1 0.0825400032917969 0.549938678741455 681 2010
10 Female 1 0.0927223639155272 0.578585624694824 661 2010
10 Female 2 0.0927223639155272 0.578585624694824 661 2011
7 Female 3to5 0.0927223639155272 0.578585624694824 661 2012
8 Female 3to5 0.0927223639155272 0.578585624694824 661 2013
6 Female 1 0.0927223639155272 0.578585624694824 655 2010
8 Female 2 0.0927223639155272 0.578585624694824 655 2011
