row column Ainv
236 225 -1.08632807319984
236 236 3.24400362348958
237 143 -1.05271950396762
237 207 -1.05271950396762
237 211 2.67574696030638
237 237 4.78118596824161
238 184 -1.00324536158227
238 210 -1.00324536158227
238 238 7.19212421757375
239 145 -1.00324536158227
239 222 2.05878853444908
239 224 -1.00324536158227
239 239 11.2810874650351
240 96 -1.02082586956183
240 173 3.53228513790289
240 174 3.02604198731761
240 214 -1.02082586956183
240 240 10.1080790116196
241 198 -1
241 226 -1
241 241 8.16270515001873
242 109 -1
242 169 -1
242 180 1.64765432512612
242 242 3.64765432512613
243 172 -1.02246630054918
243 186 -1.02246630054918
243 243 2.04493260109835
244 152 -1.02693639625805
244 181 1.0489955982393
244 182 6.28040249161476
244 211 -1.02693639625805
244 244 10.4460240090805
245 163 -1.02818503439782
245 181 0.534115729421353
245 182 1.5988289826787
245 189 -1.02818503439782
245 245 4.1893147808957
246 121 -1.26801331166318
246 138 -1.26801331166318
246 149 1.12833580110878
246 182 0.572136958077977
246 187 0.60043794149175
246 246 4.83693732400487
247 149 -1.0081220772828
247 153 2.5285706569129
247 168 -1.0081220772828
247 247 4.54481481147849
248 143 -1.05271950396762
248 186 7.92780586940217
248 207 -1.05271950396762
248 248 11.1350409321742
249 133 -1.08611203181969
249 187 4.40267374290417
249 191 -1.08611203181969
249 249 11.29573791987
250 106 -1
250 153 -1
250 189 0.505714131382581
250 229 1.54385193444786
250 250 14.6858927110458
251 150 -1.12919121954581
251 189 1.06291687447035
251 218 -1.12919121954581
251 251 3.32129931356198
252 161 -1.22597451186718
252 219 -1.22597451186718
252 231 1.61604471477889
252 252 4.06799373851325
253 112 -1.01922239502333
253 114 1.02619670231589
253 129 -1.01922239502333
253 192 0.513098351157947
253 253 4.63480620049976
254 133 -1.08611203181969
254 191 -1.08611203181969
254 193 7.37051645606227
254 203 0.593725369402343
254 239 0.525122945483319
254 254 13.3304274076448
255 109 6.33820661196989
255 120 -1.03527478950445
255 161 1.22728890054121
255 204 0.534076555101908
255 214 -1.03527478950445
255 233 0.566273804997753
255 255 11.8181689156849
256 182 -1.07339284251904
256 209 -1.07339284251904
256 256 2.14678568503808
257 109 2.07763881623789
257 134 -1.01775037659373
257 152 -1.01775037659373
257 257 4.11313956942535
258 148 -1.10096428451433
258 205 2.15175493318449
258 221 -1.10096428451433
258 258 4.35368350221315
259 109 1.08234293488246
259 148 0.550480986289633
259 156 -1.03197360858508
259 195 1.09186404180125
259 222 -1.03197360858508
259 233 5.23105780935087
259 234 0.570929515869438
259 259 10.5906225053638
260 110 -1.01386138613861
260 128 -1.01386138613861
260 196 2.04165173912366
260 260 4.06937451140089
261 96 -1.01386138613861
261 129 -1.01386138613861
261 145 3.04252553389044
261 156 0.516072131663911
261 196 2.02171767028628
261 261 7.60803810811785
262 145 1.57236713198629
262 183 -1.02621277128809
262 208 -1.02621277128809
262 262 3.62479267456247
263 112 -1.01922239502333
263 129 -1.01922239502333
263 156 0.524069986885456
263 196 1.53929505347384
263 197 3.66374367083553
263 236 0.542997522640087
263 263 15.1123614650536
264 154 -1.01977748385591
264 173 -1.01977748385591
264 198 1.02621277128809
264 206 0.517384027536552
264 264 3.58315176653646
265 143 -1.05271950396762
265 207 -1.05271950396762
265 265 2.10543900793523
266 207 -1.06380975570165
266 227 -1.06380975570165
266 266 2.12761951140329
267 149 -1.0081220772828
267 168 -1.0081220772828
267 267 2.01624415456559
268 149 -1.0081220772828
268 168 -1.0081220772828
268 268 2.01624415456559
269 146 -1.01587301587302
