femLRS maleLRS jSurv sex f_coeff immGG DFEs id cohort socdam socsire brood pair
NA NA 1 Female 0.030487060546875 0.37646484375 -1.30107733311133 604 1995 381 247 64 8
14 NA NA Female 0.030487060546875 0.37646484375 0 604 1995 381 247 NA NA
NA NA 1 Female 0.030487060546875 0.37646484375 -1.30107733311133 605 1995 381 247 64 8
12 NA NA Female 0.030487060546875 0.37646484375 0 605 1995 381 247 NA NA
NA NA 1 Female 0.107315063476562 0.25 -1.21845150237167 858 1995 466 232 65 57
3 NA NA Female 0.107315063476562 0.25 0 858 1995 466 232 NA NA
NA NA 1 Female 0.107315063476562 0.25 -1.21845150237167 859 1995 466 232 65 57
13 NA NA Female 0.107315063476562 0.25 0 859 1995 466 232 NA NA
NA NA 1 Female 0.0682353973388672 0.451171875 -1.17713858700185 606 1995 306 206 66 23
8 NA NA Female 0.0682353973388672 0.451171875 0 606 1995 306 206 NA NA
NA NA 1 Female 0.08282470703125 0.3779296875 -0.846635264043219 472 1993 220 276 67 58
4 NA NA Female 0.08282470703125 0.3779296875 0 472 1993 220 276 NA NA
NA NA 1 Female 0.051055908203125 0.1923828125 -0.640070687194077 305 1993 125 223 68 42
5 NA NA Female 0.051055908203125 0.1923828125 0 305 1993 125 223 NA NA
NA NA 1 Female 0.021484375 0.3671875 -0.640070687194077 148 1993 125 223 68 42
11 NA NA Female 0.021484375 0.3671875 0 148 1993 125 223 NA NA
NA NA 1 Female 0.152156829833984 0.43701171875 -0.598757771824249 478 1993 290 226 69 59
15 NA NA Female 0.152156829833984 0.43701171875 0 478 1993 290 226 NA NA
NA NA 1 Female 0.122451782226562 0.32275390625 -0.103002787386308 475 1993 289 138 70 60
3 NA NA Female 0.122451782226562 0.32275390625 0 475 1993 289 138 NA NA
NA NA 1 Female 0 0.79296875 -0.0203769566466516 163 1993 36 136 71 61
25 NA NA Female 0 0.79296875 0 163 1993 36 136 NA NA
NA NA 1 Female 0.048492431640625 0.458984375 -0.0616898720164799 301 1993 249 244 72 62
17 NA NA Female 0.048492431640625 0.458984375 0 301 1993 249 244 NA NA
NA NA 1 Female 0.074737548828125 0.3701171875 0.144874704832662 307 1993 127 224 73 51
4 NA NA Female 0.074737548828125 0.3701171875 0 307 1993 127 224 NA NA
NA NA 1 Female 0.21136474609375 0.1396484375 0.392752197051632 302 1993 225 207 74 63
4 NA NA Female 0.21136474609375 0.1396484375 0 302 1993 225 207 NA NA
NA NA 1 Female 0.0597381591796875 0.33154296875 0.351439281681804 476 1993 126 277 75 47
21 NA NA Female 0.0597381591796875 0.33154296875 0 476 1993 126 277 NA NA
NA NA 1 Female 0.040802001953125 0.3759765625 0.475378027791289 309 1993 124 222 76 64
