row column Ainv
241 217 -1
241 219 9.68743387066658
241 241 16.9197579629173
242 101 -1.01530643861932
242 218 -1.01530643861932
242 242 3.61372420489929
243 36 0.501622680791133
243 118 -1
243 127 0.508598745886881
243 139 2.00649072316453
243 147 8.02596289265813
243 217 -1
243 243 13.5670343553672
244 137 -1.16728412653178
244 214 -1.16728412653178
244 244 5.00340682612105
245 109 -1.07988399683628
245 204 -1.07988399683628
245 245 4.82802523523297
246 102 2.86694197522223
246 206 -1
246 211 -1
246 246 5.46066734462457
247 109 -1.07988399683628
247 204 -1.07988399683628
247 247 9.40499225621934
248 109 -1.07988399683628
248 204 -1.07988399683628
248 248 3.18121305985051
249 101 -1.01530643861932
249 143 1.03434343434343
249 218 -1.01530643861932
249 231 3.08080918877415
249 244 2.6688385730575
249 249 11.4903510337201
250 206 -1
250 211 -1
250 250 5.70179716257308
251 101 2.04165173912366
251 123 1.55291218425667
251 136 -1.01160780439615
251 158 2.65598910629468
251 214 -1.01160780439615
251 251 15.682153353281
252 138 2.52498555191678
252 159 2.1837326313685
252 192 -1.04058431248015
252 209 -1.04058431248015
252 252 7.95234667663162
253 113 3.30289285354299
253 145 1.08234516928159
253 160 3.86845211994468
253 178 2.75685680632677
253 192 -1.04058431248015
253 209 -1.04058431248015
253 253 14.2324752203105
254 141 -1
254 206 -1
254 254 2
255 141 -1
255 206 -1
255 255 3.64765432512613
256 141 -1
256 206 -1
256 256 2
257 144 -1.01637717121588
257 221 -1.01637717121588
257 257 2.03275434243176
258 144 -1.01637717121588
258 221 -1.01637717121588
258 258 5.17768166541504
259 144 -1.01637717121588
259 221 -1.01637717121588
259 259 2.03275434243176
260 144 -1.01637717121588
260 221 -1.01637717121588
260 260 2.03275434243176
261 144 -1.01637717121588
261 221 -1.01637717121588
261 261 2.03275434243176
262 144 -1.01637717121588
262 221 -1.01637717121588
262 262 2.03275434243176
263 144 -1.01637717121588
263 221 -1.01637717121588
263 263 2.03275434243176
264 144 -1.01637717121588
264 221 -1.01637717121588
264 264 6.28162450664989
265 144 -1.01637717121588
265 221 -1.01637717121588
265 265 7.28331576629377
266 144 -1.01637717121588
266 221 -1.01637717121588
266 266 2.03275434243176
267 102 -1
267 206 -1
267 267 2
268 144 -1.01637717121588
268 221 -1.01637717121588
268 268 2.03275434243176
269 102 -1
269 206 -1
269 269 2
270 102 -1
270 206 -1
270 270 2
271 43 1.02082586956183
271 124 -1.01386138613861
271 148 0.516072131663911
271 222 -1.01386138613861
271 271 7.17346384712042
272 121 -1.09643311249414
272 153 0.539897517011847
272 223 1.59914108633058
272 225 -1.09643311249414
272 230 1.22669162377164
272 231 3.19345093070851
272 272 15.2519755054486
273 208 1.23354916428249
273 224 -1.08023999472539
273 225 -1.08023999472539
273 273 3.39402915373327
